# quadratic response hierarchy plus cyclic orbit projection; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	0	-2.4804173664744670953e-25	0	1.1468306165458775173e-24	0	-8.9878887989843080781e-25
-4	-4	-3	-5.6359193549416060988e-06	-0	8.4829617648220909305e-06	-0	-3.7960565465073135324e-06	-0
-4	-4	-2	0	5.7478545108185777259e-06	0	-4.1876654173046692426e-06	0	-3.1203781870278173901e-06
-4	-4	-1	-4.2657827948292629801e-06	-0	3.429357251878023532e-06	-0	3.3457021718049586393e-06	-0
-4	-4	0	0	-1.5707070911458400649e-05	0	1.5707070911458400649e-05	0	5.5495361893318278984e-25
-4	-4	1	-4.2657827948292629801e-06	0	3.429357251878023532e-06	0	-3.3457021718049586393e-06	0
-4	-4	2	0	5.7478545108185777259e-06	0	-4.1876654173046692426e-06	0	3.1203781870278173901e-06
-4	-4	3	-5.6359193549416060988e-06	0	8.4829617648220909305e-06	0	3.7960565465073135324e-06	0
-4	-4	4	0	-1.0481276941972226436e-24	0	6.5099522053283645069e-25	0	-3.9713247366438619291e-25
-4	-3	-4	8.4829617648220909305e-06	-0	-3.7960565465073135324e-06	-0	-5.6359193549416060988e-06	-0
-4	-3	-3	0	1.1973007877753276626e-05	0	-1.1933214709335345681e-05	0	-4.030795794335691232e-06
-4	-3	-2	7.6415520210831499925e-06	-0	-1.0850954338672260527e-06	-0	-1.365546089136546133e-05	-0
-4	-3	-1	0	4.7719796703967599268e-06	0	-3.4260502920324542829e-06	0	-8.8097678054896772821e-06
-4	-3	0	-2.1327646082916273474e-05	-0	2.8436861443888363502e-05	-0	-1.4763149650706444908e-24	-0
-4	-3	1	0	4.7719796703967599268e-06	0	-3.4260502920324542829e-06	0	8.8097678054896772821e-06
-4	-3	2	7.6415520210831499925e-06	0	-1.0850954338672260527e-06	0	1.365546089136546133e-05	0
-4	-3	3	0	1.1973007877753276626e-05	0	-1.1933214709335345681e-05	0	4.030795794335691232e-06
-4	-3	4	8.4829617648220909305e-06	0	-3.7960565465073135324e-06	0	5.6359193549416060988e-06	0
-4	-2	-4	0	-4.1876654173046692426e-06	0	-3.1203781870278173901e-06	0	5.7478545108185777259e-06
-4	-2	-3	1.3081611943506115794e-05	-0	-1.6357140734023585857e-05	-0	-6.5373887686590977179e-06	-0
-4	-2	-2	0	-1.1554644887393394467e-05	0	2.7740325847867306288e-05	0	-4.631036073080515661e-06
-4	-2	-1	3.7522383318676286281e-06	-0	-3.4197463276899554222e-06	-0	-8.1694606720906036678e-06	-0
-4	-2	0	0	4.751966507020659096e-08	0	-9.503933014041318192e-08	0	-1.2331493535038743873e-24
-4	-2	1	3.7522383318676286281e-06	0	-3.4197463276899554222e-06	0	8.1694606720906036678e-06	0
-4	-2	2	0	-1.1554644887393394467e-05	0	2.7740325847867306288e-05	0	4.631036073080515661e-06
-4	-2	3	1.3081611943506115794e-05	0	-1.6357140734023585857e-05	0	6.5373887686590977179e-06	0
-4	-2	4	0	-4.1876654173046692426e-06	0	-3.1203781870278173901e-06	0	-5.7478545108185777259e-06
-4	-1	-4	3.429357251878023532e-06	-0	3.3457021718049586393e-06	-0	-4.2657827948292629801e-06	-0
