# cutoff=3 energy=1 Q=D^4*Z=2.9714449124829022861e-05
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	0	0	0	0	0	0
-3	-3	-2	0	0	0	0	0	0
-3	-3	-1	0	0	0	0	0	0
-3	-3	0	0	0	0	0	0	0
-3	-3	1	0	0	0	0	0	0
-3	-3	2	0	0	0	0	0	0
-3	-3	3	0	0	0	0	0	0
-3	-2	-3	0	0	0	0	0	0
-3	-2	-2	0	0	0	0	0	0
-3	-2	-1	0	0	0	0	0	0
-3	-2	0	0	0	0	0	0	0
-3	-2	1	0	0	0	0	0	0
-3	-2	2	0	0	0	0	0	0
-3	-2	3	0	0	0	0	0	0
-3	-1	-3	0	0	0	0	0	0
-3	-1	-2	0	0	0	0	0	0
-3	-1	-1	0	0	0	0	0	0
-3	-1	0	0	0	0	0	0	0
-3	-1	1	0	0	0	0	0	0
-3	-1	2	0	0	0	0	0	0
-3	-1	3	0	0	0	0	0	0
-3	0	-3	0	0	0	0	0	0
-3	0	-2	0	0	0	0	0	0
-3	0	-1	0	0	0	0	0	0
-3	0	0	0	0	0	0	0	0
-3	0	1	0	0	0	0	0	0
-3	0	2	0	0	0	0	0	0
-3	0	3	0	0	0	0	0	0
-3	1	-3	0	0	0	0	0	0
-3	1	-2	0	0	0	0	0	0
-3	1	-1	0	0	0	0	0	0
-3	1	0	0	0	0	0	0	0
-3	1	1	0	0	0	0	0	0
-3	1	2	0	0	0	0	0	0
-3	1	3	0	0	0	0	0	0
-3	2	-3	0	0	0	0	0	0
-3	2	-2	0	0	0	0	0	0
-3	2	-1	0	0	0	0	0	0
-3	2	0	0	0	0	0	0	0
-3	2	1	0	0	0	0	0	0
-3	2	2	0	0	0	0	0	0
-3	2	3	0	0	0	0	0	0
-3	3	-3	0	0	0	0	0	0
-3	3	-2	0	0	0	0	0	0
-3	3	-1	0	0	0	0	0	0
-3	3	0	0	0	0	0	0	0
-3	3	1	0	0	0	0	0	0
-3	3	2	0	0	0	0	0	0
-3	3	3	0	0	0	0	0	0
-2	-3	-3	0	0	0	0	0	0
-2	-3	-2	0	0	0	0	0	0
-2	-3	-1	0	0	0	0	0	0
-2	-3	0	0	0	0	0	0	0
-2	-3	1	0	0	0	0	0	0
-2	-3	2	0	0	0	0	0	0
-2	-3	3	0	0	0	0	0	0
-2	-2	-3	0	0	0	0	0	0
